Department,Employee ID,Name,Hire Date,Tenure,Prev Tenure,Next Tenure
Administration,200,Jennifer Whalen,2003-09-17,21,0,0
Marketing,201,Michael Johnson,2004-02-17,21,0,19
Marketing,202,Pat Joe,2005-08-17,19,21,0
Purchasing,114,Den Raphaely,2002-12-07,22,0,21
Purchasing,115,Alexander Khoo,2003-05-18,21,22,19
Purchasing,117,Sigal Tobias,2005-07-24,19,21,19
Purchasing,116,Shelli Baida,2005-12-24,19,19,18
Purchasing,118,Guy Himuro,2006-11-15,18,19,17
Purchasing,119,Karen Colmenares,2007-08-10,17,18,0
Human Resources,203,Susan Mavris,2002-06-07,22,0,0
Shipping,122,Payam Kaufling,2003-05-01,21,0,21
Shipping,137,Renske Ladwig,2003-07-14,21,21,21
Shipping,141,Trenna Rajs,2003-10-17,21,21,21
Shipping,184,Nandita Sarchand,2004-01-27,21,21,21
Shipping,192,Sarah Bell,2004-02-04,21,21,20
Shipping,133,Jason Mallin,2004-06-14,20,21,20
Shipping,120,Matthew Weiss,2004-07-18,20,20,20
Shipping,142,Curtis Davies,2005-01-29,20,20,20
Shipping,131,James Marlow,2005-02-16,20,20,20
Shipping,185,Alexis Bull,2005-02-20,20,20,20
Shipping,193,Britney Everett,2005-03-03,20,20,19
Shipping,121,Adam Fripp,2005-04-10,19,20,19
Shipping,188,Kelly Chung,2005-06-14,19,19,19
Shipping,125,Julia Nayer,2005-07-16,19,19,19
Shipping,189,Jennifer Dilly,2005-08-13,19,19,19
Shipping,129,Laura Bissot,2005-08-20,19,19,19
Shipping,123,Shanta Vollman,2005-10-10,19,19,19
Shipping,138,Stephen Stiles,2005-10-26,19,19,19
Shipping,130,Mozhe Atkinson,2005-10-30,19,19,19
Shipping,180,Winston Taylor,2006-01-24,19,19,19
Shipping,139,John Seo,2006-02-12,19,19,19
Shipping,181,Jean Fleaur,2006-02-23,19,19,19
Shipping,143,Randall Matos,2006-03-15,19,19,18
Shipping,140,Joshua Patel,2006-04-06,18,19,18
Shipping,196,Alana Walsh,2006-04-24,18,18,18
Shipping,197,Kevin Feeney,2006-05-23,18,18,18
Shipping,186,Julia Dellinger,2006-06-24,18,18,18
Shipping,194,Samuel McCain,2006-07-01,18,18,18
Shipping,144,Peter Vargas,2006-07-09,18,18,18
Shipping,190,Timothy Gates,2006-07-11,18,18,18
Shipping,134,Michael Rogers,2006-08-26,18,18,18
Shipping,126,Irene Mikkilineni,2006-09-28,18,18,18
Shipping,127,James Landry,2007-01-14,18,18,18
Shipping,187,Anthony Cabrio,2007-02-07,18,18,18
Shipping,195,Vance Jones,2007-03-17,18,18,17
Shipping,132,TJ Olson,2007-04-10,17,18,17
Shipping,182,Martha Sullivan,2007-06-21,17,17,17
Shipping,198,Donald OConnell,2007-06-21,17,17,17
Shipping,124,Kevin Mourgos,2007-11-16,17,17,17
Shipping,135,Ki Gee,2007-12-12,17,17,17
Shipping,191,Randall Perkins,2007-12-19,17,17,17
Shipping,199,Douglas Grant,2008-01-13,17,17,17
Shipping,183,Girard Geoni,2008-02-03,17,17,17
Shipping,136,Hazel Philtanker,2008-02-06,17,17,17
Shipping,128,Steven Markle,2008-03-08,17,17,0
IT,105,David Austin,2005-06-25,19,0,19
IT,103,Alexander Hunold,2006-01-03,19,19,19
IT,106,Valli Pataballa,2006-02-05,19,19,18
IT,107,Diana Lorentz,2007-02-07,18,19,17
IT,104,Bruce Ernst,2007-05-21,17,18,0
Public Relations,204,Hermann Baer,2002-06-07,22,0,0
Sales,156,Janette King,2004-01-30,21,0,21
Sales,157,Patrick Sully,2004-03-04,21,21,20
Sales,174,Ellen Abel,2004-05-11,20,21,20
Sales,158,Allan McEwen,2004-08-01,20,20,20
Sales,145,John Russell,2004-10-01,20,20,20
Sales,146,Karen Partners,2005-01-05,20,20,20
Sales,150,Peter Tucker,2005-01-30,20,20,20
Sales,159,Lindsey Smith,2005-03-10,20,20,20
Sales,147,Alberto Errazuriz,2005-03-10,20,20,20
Sales,168,Lisa Ozer,2005-03-11,20,20,20
Sales,175,Alyssa Hutton,2005-03-19,20,20,20
Sales,151,David Bernstein,2005-03-24,20,20,19
Sales,152,Peter Hall,2005-08-20,19,20,19
Sales,162,Clara Vishney,2005-11-11,19,19,19
Sales,160,Louise Doran,2005-12-15,19,19,19
Sales,170,Tayler Fox,2006-01-24,19,19,19
Sales,169,Harrison Bloom,2006-03-23,19,19,19
Sales,176,Jonathon Taylor,2006-03-24,19,19,19
Sales,153,Christopher Olsen,2006-03-30,19,19,18
Sales,177,Jack Livingston,2006-04-23,18,19,18
Sales,161,Sarath Sewall,2006-11-03,18,18,18
Sales,154,Nanette Cambrault,2006-12-09,18,18,18
Sales,171,William Smith,2007-02-23,18,18,18
Sales,163,Danielle Greene,2007-03-19,18,18,18
Sales,172,Elizabeth Bates,2007-03-24,18,18,17
Sales,148,Gerald Cambrault,2007-10-15,17,18,17
Sales,155,Oliver Tuvault,2007-11-23,17,17,17
Sales,179,Charles Johnson,2008-01-04,17,17,17
Sales,164,Mattea Marvins,2008-01-24,17,17,17
Sales,149,Eleni Zlotkey,2008-01-29,17,17,17
Sales,165,David Lee,2008-02-23,17,17,17
Sales,166,Sundar Ande,2008-03-24,17,17,16
Sales,173,Sundita Kumar,2008-04-21,16,17,16
Sales,167,Amit Banda,2008-04-21,16,16,0
Executive,102,Lex De Haan,2001-01-13,24,0,21
Executive,100,Steven King,2003-06-17,21,24,19
Executive,101,Neena Kochhar,2005-09-21,19,21,0
